title,author,image,tags,sinopsis,price,real_price,n_pages,editorial,lang,encuadernacion,ISBN,year,date
PRECARIEDAD,PRECARIADA,https://imagessl1.casadellibro.com/a/l/t5/21/9788427049321.jpg,"Cómics,Novela gráfica,Otros países","Nadie nos avisó de que hacerse mayor era ir superando pantallas de un juego llamado Precariedad: elegir una carrera que nunca ejercerás, encontrar un trabajo semidecente, enamorarte malamente y replantearte todas las decisiones de mierda que has tomado hasta la fecha. El objetivo del juego es llegar a ser un adulto funcional según los estándares de nuestra sociedad. ¿El problema? Que nadie sabe cómo hacerlo.",17.90,17.00,184,MARTINEZ ROCA,CASTELLANO,Tapa blanda,9788427049321,2022,02/03/2022
IKIGAI. LOS SECRETOS DE JAPÓN PARA UNA VIDA LARGA Y FELIZ,FRANCESC MIRALLES CONTIJOCH,https://imagessl1.casadellibro.com/a/l/t5/21/9788479539221.jpg,"Autoayuda y Espiritualidad,Autoayuda","Según los japoneses, todo el mundo tiene un ikigai, un motivo para existir. Algunos lo han encontrado y son conscientes de su ikigai, otros lo llevan dentro, pero todavía lo están buscando. Este es uno de los secretos para una vida larga, joven y feliz como la que llevan los habitantes de Okinawa, la isla más longeva del mundo.",2.95,2.80,192,URANO,CASTELLANO,,9788479539221,2016,07/03/2016
LA VERDAD SOBRE EL CASO HARRY QUEBERT,JOEL DICKER,https://imagessl6.casadellibro.com/a/l/t5/86/9788466332286.jpg,"Literatura,Narrativa en bolsillo,Policiaca. Novela negra en bolsillo",Quién mató a Nola Kellergan es la gran incógnita a desvelar en esta  incomparable historia policíaca cuya experiencia de lectura escapa a cualquier tentativa de descripción.,22.90,21.75,800,DEBOLSILLO ,CASTELLANO,Tapa blanda,9788466332286,2016,04/02/2016
Y NO QUEDO NINGUNO,AGATHA CHRISTIE,https://imagessl3.casadellibro.com/a/l/t5/23/9788467066623.jpg,Novela negra,"Diez personas sin relación alguna entre sí son reunidas en un misterioso islote de la costa inglesa por un tal Señor Owen, propietario de una lujosa mansión a la par que perfecto desconocido para todos sus invitados. Tras la primera cena, y sin haber conocido aún a su anfitrión, los diez comensales son acusados mediante una grabación de haber cometido un crimen en el pasado.",7.50,7.12,256, ESPASA LIBROS,CASTELLANO,Tapa blanda,9788467066623,2022,29/06/2022
LA BESTIA,CARMEN MOLA,https://imagessl8.casadellibro.com/a/l/t5/48/9788408262848.jpg,"Literatura,Narrativa en bolsillo,Policiaca. Novela negra en bolsillo","Corre el año 1834 y Madrid, una pequeña ciudad que trata de abrirse paso más allá de las murallas que la rodean, sufre una terrible epidemia de cólera. Pero la peste no es lo único que aterroriza a sus habitantes: en los arrabales aparecen cadáveres desmembrados de niñas que nadie reclama. Todos los rumores apuntan a la Bestia, un ser a quien nadie ha visto pero al que todos temen.",20.90,19.85,544,PLANETA,CASTELLANO,Tapa blanda,9788408262848,2022,31/08/2022
INVICTO,MARCOS VAZQUEZ,https://imagessl7.casadellibro.com/a/l/t5/77/9788413980577.jpg,"Autoayuda y Espiritualidad,Autoayuda",,8.99,8.54,234,CIRCULO ROJO,CASTELLANO,Tapa blanda,9788413980577,2021,23/06/2021
1984,GEORGE ORWELL,https://imagessl4.casadellibro.com/a/l/t5/44/9788499890944.jpg,"Literatura,Narrativa en bolsillo,Narrativa extranjera del XIX al XXI en bolsillo","«Está entre mis libros favoritos, lo leo una y otra vez».",14.50,13.77,352,DEBOLSILLO,CASTELLANO,Tapa blanda,9788499890944,2013,04/02/2013
LA QUIMICA DEL AMOR,ALI HAZELWOOD,https://imagessl3.casadellibro.com/a/l/t5/03/9788418945403.jpg,"Romántica y erótica,Narrativa romántica",,9.99,9.49,480,CONTRALUZ EDITORIAL ,CASTELLANO,Tapa blanda,9788418945403,2022,03/11/2022
SLOW CROCHET,SANTA PAZIENZIA,https://imagessl2.casadellibro.com/a/l/t5/72/9788411312172.jpg,"Manualidades,Técnicas de costura",,23.00,21.85,192,ALMUZARA,CASTELLANO,Tapa blanda,9788411312172,2022,20/10/2022
EL REINO DE LOS MALDITOS VOL. 2: LOS SIETE CIRCULOS DEL INFIERNO,KERRI MANISCALCO,https://imagessl7.casadellibro.com/a/l/t5/37/9788417854737.jpg,"Juvenil,Más de 15 años,Fantasía y magia","Emilia se ha embarcado en una misión para vengar a su amadaáhermana, una que la ha llevado a viajar a los siete círculosáy a vender su alma para convertirse en la reina de los Malditos,ácon el enigmático príncipe de la Ira a su lado. Pero ¿cuál esála primera regla de la corte de los Malditos? No confíes en nadie.áPorque cuanto más reside Emilia en el infierno, ese seductorámundo lleno de vicios, más claro ve que nada es lo que parece.áIncluso Wrath, su antiguo aliado, puede guardar secretos sobreásu verdadera naturaleza. Y Emilia pronto se encuentra atrapadaáentre Wrath y su aún más perverso hermano, el príncipeádel Orgullo, rey de los demonios.",12.90,12.25,480,PUCK,CASTELLANO,,9788417854737,2022,06/09/2022
